CheckoutID,StudentID,BookTitle,CheckoutDate,DueDate
"LIB-1701","STU-3498","Book Title 1","2024-01-21","2024-07-28"
"LIB-1702","STU-2398","Book Title 2","2025-06-08","2022-06-14"
"LIB-1703","STU-1508","Book Title 3","2022-04-09","2025-11-15"
"LIB-1704","STU-4219","Book Title 4","2022-03-23","2022-08-04"
"LIB-1705","STU-2699","Book Title 5","2023-12-05","2024-04-24"
"LIB-1706","STU-4133","Book Title 6","2023-11-02","2024-06-27"
"LIB-1707","STU-4299","Book Title 7","2026-04-07","2022-07-30"
"LIB-1708","STU-3891","Book Title 8","2025-12-23","2025-08-25"
"LIB-1709","STU-4642","Book Title 9","2026-06-16","2023-05-21"
"LIB-1710","STU-4640","Book Title 10","2022-11-16","2025-10-15"
"LIB-1711","STU-4426","Book Title 11","2022-12-11","2024-02-14"
"LIB-1712","STU-3202","Book Title 12","2025-10-23","2025-02-18"
"LIB-1713","STU-4813","Book Title 13","2024-12-02","2026-07-09"
"LIB-1714","STU-4072","Book Title 14","2024-06-23","2024-04-23"
"LIB-1715","STU-2897","Book Title 15","2025-07-05","2022-11-12"
"LIB-1716","STU-4243","Book Title 16","2023-05-05","2023-09-10"
"LIB-1717","STU-3392","Book Title 17","2024-02-22","2026-05-21"
"LIB-1718","STU-4487","Book Title 18","2022-02-22","2025-11-06"
"LIB-1719","STU-2721","Book Title 19","2024-06-28","2022-08-16"
"LIB-1720","STU-2650","Book Title 20","2023-09-08","2024-05-05"
"LIB-1721","STU-3574","Book Title 21","2022-12-06","2022-08-06"
"LIB-1722","STU-4333","Book Title 22","2026-06-12","2024-03-09"
"LIB-1723","STU-3665","Book Title 23","2023-04-25","2022-08-12"
"LIB-1724","STU-3339","Book Title 24","2023-10-05","2025-08-16"
"LIB-1725","STU-3840","Book Title 25","2023-05-28","2026-01-18"
"LIB-1726","STU-1719","Book Title 26","2025-02-27","2025-02-06"
"LIB-1727","STU-3598","Book Title 27","2022-04-05","2023-04-05"
"LIB-1728","STU-4024","Book Title 28","2024-10-07","2025-07-03"
"LIB-1729","STU-2829","Book Title 29","2022-01-13","2022-04-28"
"LIB-1730","STU-2560","Book Title 30","2024-02-13","2024-03-25"
"LIB-1731","STU-3150","Book Title 31","2024-01-31","2023-03-20"
"LIB-1732","STU-3251","Book Title 32","2025-07-02","2023-05-16"
"LIB-1733","STU-1430","Book Title 33","2025-12-10","2026-03-09"
"LIB-1734","STU-4404","Book Title 34","2022-09-10","2025-12-31"
"LIB-1735","STU-3302","Book Title 35","2025-10-15","2025-04-14"
"LIB-1736","STU-4794","Book Title 36","2022-04-12","2025-11-08"
"LIB-1737","STU-3775","Book Title 37","2022-03-20","2025-08-03"
"LIB-1738","STU-2466","Book Title 38","2025-01-12","2023-03-01"
"LIB-1739","STU-1498","Book Title 39","2022-04-10","2026-04-19"
"LIB-1740","STU-2872","Book Title 40","2025-07-09","2022-04-03"
"LIB-1741","STU-2053","Book Title 41","2025-03-04","2026-04-30"
"LIB-1742","STU-2095","Book Title 42","2025-02-20","2024-10-27"
"LIB-1743","STU-4707","Book Title 43","2023-09-22","2025-09-21"
"LIB-1744","STU-1798","Book Title 44","2024-07-06","2026-05-18"
"LIB-1745","STU-4185","Book Title 45","2022-12-02","2022-11-13"
"LIB-1746","STU-3408","Book Title 46","2025-10-03","2025-09-28"
"LIB-1747","STU-2850","Book Title 47","2024-12-17","2025-12-16"
"LIB-1748","STU-3205","Book Title 48","2022-04-04","2024-12-14"
"LIB-1749","STU-2159","Book Title 49","2025-10-13","2023-04-27"
"LIB-1750","STU-3984","Book Title 50","2022-06-20","2023-04-11"
"LIB-1751","STU-3957","Book Title 51","2024-05-13","2025-07-04"
"LIB-1752","STU-1821","Book Title 52","2024-08-03","2022-09-16"
"LIB-1753","STU-2562","Book Title 53","2022-06-18","2024-12-13"
"LIB-1754","STU-1411","Book Title 54","2022-04-18","2025-08-08"
"LIB-1755","STU-2225","Book Title 55","2026-04-15","2022-07-24"
"LIB-1756","STU-2655","Book Title 56","2022-05-16","2024-04-22"
"LIB-1757","STU-4600","Book Title 57","2026-04-30","2023-07-10"
"LIB-1758","STU-3868","Book Title 58","2026-02-03","2022-07-06"
"LIB-1759","STU-3919","Book Title 59","2022-05-20","2026-06-08"
"LIB-1760","STU-1576","Book Title 60","2023-08-22","2024-08-09"
"LIB-1761","STU-1776","Book Title 61","2025-08-13","2022-10-06"
"LIB-1762","STU-2693","Book Title 62","2025-06-08","2025-07-09"
"LIB-1763","STU-2644","Book Title 63","2023-03-22","2026-01-16"
"LIB-1764","STU-4441","Book Title 64","2024-06-14","2024-04-20"
"LIB-1765","STU-4169","Book Title 65","2025-10-29","2026-07-11"
"LIB-1766","STU-4090","Book Title 66","2025-03-08","2024-10-02"
"LIB-1767","STU-2696","Book Title 67","2022-03-13","2025-07-16"
"LIB-1768","STU-2740","Book Title 68","2024-09-30","2023-05-17"
"LIB-1769","STU-2287","Book Title 69","2023-01-20","2026-02-10"
"LIB-1770","STU-3145","Book Title 70","2023-09-10","2022-09-16"
"LIB-1771","STU-3414","Book Title 71","2023-08-10","2025-08-19"
"LIB-1772","STU-1678","Book Title 72","2026-06-08","2025-01-17"
"LIB-1773","STU-2858","Book Title 73","2026-05-26","2022-04-22"
"LIB-1774","STU-1717","Book Title 74","2024-11-01","2025-04-21"
"LIB-1775","STU-4793","Book Title 75","2022-07-01","2025-01-22"
"LIB-1776","STU-3917","Book Title 76","2025-04-23","2026-06-04"
"LIB-1777","STU-3327","Book Title 77","2026-01-18","2023-08-11"
"LIB-1778","STU-1682","Book Title 78","2026-06-07","2023-01-24"
"LIB-1779","STU-2398","Book Title 79","2023-10-10","2026-04-30"
"LIB-1780","STU-1727","Book Title 80","2024-01-08","2026-07-08"
"LIB-1781","STU-4783","Book Title 81","2023-06-08","2025-06-12"
"LIB-1782","STU-2293","Book Title 82","2022-07-17","2023-07-23"
"LIB-1783","STU-3672","Book Title 83","2024-10-19","2023-08-03"
"LIB-1784","STU-2755","Book Title 84","2023-09-09","2023-08-24"
"LIB-1785","STU-2594","Book Title 85","2025-01-03","2025-01-25"
"LIB-1786","STU-2462","Book Title 86","2023-01-02","2024-06-08"
"LIB-1787","STU-1472","Book Title 87","2024-10-03","2024-05-25"
"LIB-1788","STU-1861","Book Title 88","2026-01-17","2022-03-20"
"LIB-1789","STU-1988","Book Title 89","2026-06-17","2022-03-09"
"LIB-1790","STU-4118","Book Title 90","2023-11-24","2025-04-09"
"LIB-1791","STU-4211","Book Title 91","2023-12-03","2025-08-17"
"LIB-1792","STU-2741","Book Title 92","2022-10-16","2025-08-30"
"LIB-1793","STU-3959","Book Title 93","2022-08-06","2023-07-31"
"LIB-1794","STU-2047","Book Title 94","2022-09-21","2022-10-18"
"LIB-1795","STU-3367","Book Title 95","2022-05-28","2022-08-09"
"LIB-1796","STU-4767","Book Title 96","2022-06-21","2025-10-31"
"LIB-1797","STU-3146","Book Title 97","2026-05-20","2025-02-02"
"LIB-1798","STU-4285","Book Title 98","2024-04-07","2023-05-25"
"LIB-1799","STU-3270","Book Title 99","2022-12-21","2022-05-21"
"LIB-1800","STU-4227","Book Title 100","2025-06-08","2025-03-04"
"LIB-1801","STU-4380","Book Title 101","2024-05-19","2024-06-15"
"LIB-1802","STU-4014","Book Title 102","2022-02-26","2022-08-12"
"LIB-1803","STU-3879","Book Title 103","2025-04-29","2024-11-16"
"LIB-1804","STU-4621","Book Title 104","2025-01-21","2026-03-01"
"LIB-1805","STU-2412","Book Title 105","2025-03-14","2025-06-06"
"LIB-1806","STU-2538","Book Title 106","2025-09-23","2023-09-26"
"LIB-1807","STU-1793","Book Title 107","2024-05-06","2024-02-21"
"LIB-1808","STU-4127","Book Title 108","2026-03-05","2023-02-22"
"LIB-1809","STU-4703","Book Title 109","2022-02-14","2025-03-04"
"LIB-1810","STU-4635","Book Title 110","2023-01-28","2022-01-23"
"LIB-1811","STU-2367","Book Title 111","2022-09-10","2023-04-07"
"LIB-1812","STU-1544","Book Title 112","2023-02-12","2022-12-26"
"LIB-1813","STU-4260","Book Title 113","2023-01-09","2024-02-17"
"LIB-1814","STU-3626","Book Title 114","2024-11-26","2026-03-06"
"LIB-1815","STU-2083","Book Title 115","2024-05-29","2022-03-09"
"LIB-1816","STU-4051","Book Title 116","2025-07-19","2023-01-29"
"LIB-1817","STU-2902","Book Title 117","2025-01-02","2024-04-11"
"LIB-1818","STU-3079","Book Title 118","2023-03-10","2022-05-22"
"LIB-1819","STU-2629","Book Title 119","2025-05-23","2025-03-24"
"LIB-1820","STU-3285","Book Title 120","2022-07-25","2026-05-31"
"LIB-1821","STU-1911","Book Title 121","2022-08-06","2025-07-05"
"LIB-1822","STU-3467","Book Title 122","2023-09-21","2025-04-02"
"LIB-1823","STU-4672","Book Title 123","2024-08-15","2024-06-27"
"LIB-1824","STU-1480","Book Title 124","2025-04-22","2024-01-20"
"LIB-1825","STU-3591","Book Title 125","2024-10-25","2024-08-31"
"LIB-1826","STU-2902","Book Title 126","2024-08-20","2022-03-24"
"LIB-1827","STU-3403","Book Title 127","2022-03-08","2024-07-27"
"LIB-1828","STU-4199","Book Title 128","2024-04-27","2022-01-26"
"LIB-1829","STU-1990","Book Title 129","2022-05-02","2026-01-02"
"LIB-1830","STU-3172","Book Title 130","2023-07-17","2026-02-22"
